,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,-0.0029248776047556824,0.0,-0.0026323898442801585,-0.0024861459640422856,-0.0023399020838045237,-0.0026323898442801585,-0.0024861459640422856,0.0,0.0,-0.0034495194640142834,-0.020488212813032036
2019-01-03,-0.009427595674251776,0.0,-0.008486552897128963,-0.00801588844270873,-0.007545128611049723,-0.008486552897128963,-0.00801588844270873,-0.00843352707063627,0.0,-0.011118644665442323,-0.0069104351679286635
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0100663683236486,-0.0005028974947115517,0.0,0.0
2019-01-07,-0.006789503817044129,0.0,-0.006110553435339727,-0.005771078244487526,-0.0054316030536353255,-0.006110553435339727,-0.005771078244487526,-0.007511342009857924,-0.010680214660762077,-0.007990051452011149,0.0
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009247186530284779,0.0,0.0
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008357300326710115,0.0,0.0
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0162895267590788,0.0,0.0
2019-01-11,-0.005852839345196648,0.0,-0.005267555410676916,-0.004974913443417162,-0.004682271476157296,-0.005267555410676916,-0.004974913443417162,0.0,-0.031368704952645654,-0.006852918168319344,0.0
2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006998761679056997,-0.03864139103423092,0.0,-0.014188923840117273
2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04046428252117473,0.0,-0.01806507707281868
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037138158320679793,-0.06504671497773507,0.0,-0.018479255184743026
2019-01-17,-0.004572904089127916,0.0,-0.00411561368021518,-0.0038869684757586453,-0.003658323271302333,-0.00411561368021518,-0.0038869684757586453,0.0,-0.05819744851175712,-0.0053205816752628365,-0.007272310367020252
2019-01-18,-0.013145129627420427,0.0,-0.011834160868853694,-0.011178381139222426,-0.010522404509359262,-0.011834160868853694,-0.011178381139222426,0.0,-0.05987272642422192,-0.015294380649900519,-0.013381830833837371
2019-01-21,-0.008127569110337407,0.0,-0.007312357468122421,-0.006904954931519991,-0.00649768811814555,-0.007312357468122421,-0.006904954931519991,0.0,-0.08565124913592126,-0.009456440465415716,-0.02149361339483169
2019-01-22,-0.007251229290447858,0.0,-0.0065230033995005154,-0.006159147910423712,-0.005795464235363701,-0.0065230033995005154,-0.006159147910423712,0.0,-0.09741394067365194,-0.008436817596418233,-0.026258659472207846
