,Alpha_Always_Only,MAX_CAGR_MDD25_Core_Only,MAX_CAGR_MDD25_Core90_Alpha10,MAX_CAGR_MDD25_Core85_Alpha15,MAX_CAGR_MDD25_Core80_Alpha20,MAX_CAGR_MDD25_Core85_AlphaRegime15,ROBUST_MEDIAN_Core_Only,ROBUST_MEDIAN_Core90_Alpha10,ROBUST_MEDIAN_Core85_Alpha15,ROBUST_MEDIAN_Core80_Alpha20,ROBUST_MEDIAN_Core85_AlphaRegime15,SPY,QQQ,VT
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,0.0,-0.002505385322784104,-0.0022548467905056935,-0.0021295775243664883,-0.002004308258227283,-0.0021295775243664883,-0.0021788104876440118,-0.0019609294388795995,-0.0018519889144974488,-0.0017430483901151872,-0.0018519889144974488,0.0,0.0,-0.0034495194640142834
2019-01-03,0.0,-0.004377606776020282,-0.003940269315994893,-0.003721565317850839,-0.0035028378076191746,-0.003721565317850839,-0.0022600688246489087,-0.002034077911163945,-0.001921081123673285,-0.0018080834490167286,-0.001921081123673285,-0.00843352707063627,0.0,-0.011118644665442323
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0100663683236486,-0.0005028974947115517,0.0
2019-01-07,0.0,-0.003311920857581141,-0.0029807287718229825,-0.0028151327289439587,-0.002649536686064935,-0.0028151327289439587,-0.0008920263667937522,-0.0008028237301144214,-0.0007582224117747005,-0.0007136210934349796,-0.0007582224117747005,-0.007511342009857924,-0.010680214660762077,-0.007990051452011149
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009247186530284779,0.0
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008357300326710115,0.0
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0162895267590788,0.0
2019-01-11,0.0,-0.002009480340553149,-0.001808532306497801,-0.0017080582894701823,-0.0016075842724425637,-0.0017080582894701823,-0.00016760621437739154,-0.00015084559293965238,-0.00014246528222083832,-0.00013408497150191323,-0.00014246528222083832,0.0,-0.031368704952645654,-0.006852918168319344
2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006998761679056997,-0.03864139103423092,0.0
2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04046428252117473,0.0
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037138158320679793,-0.06504671497773507,0.0
2019-01-17,0.0,-0.0015887131214618044,-0.0014298418093157128,-0.001350406153242445,-0.0012709704971695102,-0.001350406153242445,-0.00114803776796224,-0.0010332339911660604,-0.0009758321027679706,-0.0009184302143697698,-0.0009758321027679706,0.0,-0.05819744851175712,-0.0053205816752628365
2019-01-18,0.0,-0.007330771224545618,-0.006598516432012147,-0.006232320508251843,-0.0058660788994961965,-0.006232320508251843,-0.00434923299467016,-0.003914640833734939,-0.0036973171583893905,-0.0034799750864590306,-0.0036973171583893905,0.0,-0.05987272642422192,-0.015294380649900519
2019-01-21,0.0,-1.9853662083568757e-05,-1.3836935522482108e-05,-1.1164089944060152e-05,-8.714990127334232e-06,-1.1164089944060152e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.08565124913592126,-0.009456440465415716
2019-01-22,0.0,-0.0006040044668980116,-0.0005395758231263592,-0.0005076965887393925,-0.00047604083941343855,-0.0005076965887393925,-0.0007097145836649776,-0.0006387431252984355,-0.0006032573961153309,-0.0005677716669321153,-0.0006032573961153309,0.0,-0.09741394067365194,-0.008436817596418233
2019-01-23,0.0,-0.0026003519858632806,-0.0023364044199237766,-0.002204755503023237,-0.002073323345995526,-0.002204755503023237,-0.003870329418292462,-0.003483498501943405,-0.0032900662083122922,-0.0030966226910433825,-0.0032900662083122922,0.0,-0.1002949092282086,-0.00601188322604207
2019-01-24,0.0,-0.008259873738440171,-0.007431321937654167,-0.007017257008089861,-0.0066033331531935024,-0.007017257008089861,-0.008753602289754414,-0.007880150792602625,-0.0074432660531933426,-0.0070062753088907526,-0.0074432660531933426,-0.009278512984135845,-0.11886875763895421,-0.021715197122805785
2019-01-25,0.0,-0.006639288403324173,-0.005971576606138673,-0.005638033515566021,-0.0053046993457153135,-0.005638033515566021,-0.007529711111515458,-0.006777678127274478,-0.0064015833612032225,-0.0060254364276570715,-0.0064015833612032225,-0.02743153061733039,-0.10818196159855742,-0.02108360675992882
2019-01-28,0.0,-0.0004995140856364211,-0.0004420654201405805,-0.00041396506381541354,-0.0003862808179155852,-0.00041396506381541354,-0.0033956773780839944,-0.003054228502182177,-0.0028836604518952536,-0.002713196718732158,-0.0028836604518952536,-0.015456489892222036,-0.10581372387275856,-0.007306036879662581
2019-01-29,0.0,-0.0012310543600617674,-0.001100489509437308,-0.0010358275188336874,-0.000971579338330697,-0.0010358275188336874,-0.004972029611244322,-0.004473431581891063,-0.004224248238798856,-0.003975142101684481,-0.004224248238798856,0.0,-0.09813721087476679,0.0
2019-01-30,0.0,-0.004184401307569807,-0.0037588492329225787,-0.003546663114988746,-0.003334870707783155,-0.003546663114988746,-0.00822296211359852,-0.007400736941223673,-0.006989617529787884,-0.006578493709924582,-0.006989617529787884,-0.00102025429067365,-0.10883985991724332,-0.004708344013358179
2019-01-31,0.0,-0.004392677053775107,-0.003946377508653676,-0.00372381087526219,-0.003501633448831032,-0.00372381087526219,-0.008796133503358394,-0.007917018857031222,-0.00747741907321986,-0.007037791123456927,-0.00747741907321986,0.0,-0.10406253640423346,-0.0057613031566043915
2019-02-01,0.0,-0.011175167170239475,-0.010053354953357352,-0.009492800579063654,-0.008932481668954995,-0.009492800579063654,-0.012288886972218194,-0.011063284980294075,-0.010450209317421244,-0.00983695066407364,-0.010450209317421244,-0.01899892828384664,-0.11077268922776085,-0.022882123035338986
2019-02-04,0.0,-0.01613972079793502,-0.014526522232585548,-0.013719850765152475,-0.012913132380844017,-0.013719850765152475,-0.015270192521144588,-0.01374978939380489,-0.012989036416297117,-0.012227915839530978,-0.012989036416297117,-0.02592814372494512,-0.11246028424099919,-0.030409060642843544
2019-02-05,0.0,-0.01703502892964326,-0.015333620753779087,-0.014482734436702116,-0.013631727830188622,-0.014482734436702116,-0.01648866819899819,-0.014848110675741433,-0.014027139982577319,-0.013205707920706078,-0.014027139982577319,-0.024608888051482536,-0.10832899946726249,-0.03411582046676431
2019-02-06,0.0,-0.010808305679634866,-0.009719869810620008,-0.009176277000611632,-0.00863310229690839,-0.009176277000611632,-0.011150161627497157,-0.010035440299175136,-0.0094780523828919,-0.008920646717933134,-0.0094780523828919,-0.044356128276817786,-0.10871303288979672,-0.026502920247935324
2019-02-07,0.0,-0.015167555683864964,-0.013647511760964792,-0.012887752836847177,-0.012128170990120535,-0.012887752836847177,-0.013869658936307205,-0.012485746974978507,-0.011793533881074958,-0.011101149786834963,-0.011793533881074958,-0.061388677749126486,-0.09965548491479714,-0.03447823013553175
2019-02-08,0.0,-0.020121966219116993,-0.01811336345854686,-0.01710875047283078,-0.016103931638845936,-0.01710875047283078,-0.018163536579533734,-0.01635566018743695,-0.015451013885295684,-0.014545895770220918,-0.015451013885295684,-0.05925991763085636,-0.09778178236510782,-0.046168691537598616
2019-02-11,0.0,-0.01765621748963475,-0.015889640628997226,-0.015006419007831062,-0.014123243923136575,-0.015006419007831062,-0.016526443210703623,-0.014879563182090383,-0.014055640139228553,-0.013231395492892872,-0.014055640139228553,-0.06572697993748089,-0.10241403371477797,-0.037216104201758804
2019-02-12,0.0,-0.01904929437755498,-0.017145664517059234,-0.016193728424688025,-0.015241713564970949,-0.016193728424688025,-0.017399266408688607,-0.015666419491256356,-0.014799403749117146,-0.01393199350947305,-0.014799403749117146,-0.06926127472988808,-0.09291744317546058,-0.041846761190253545
2019-02-13,0.0,-0.02321219627510407,-0.02089954688777429,-0.01974249558046315,-0.01858496179608493,-0.01974249558046315,-0.02111712860816939,-0.019018396379722247,-0.01796794814453173,-0.016916778553587197,-0.01796794814453173,-0.0734454048532136,-0.08099891462373932,-0.05120725173018292
2019-02-14,0.0,-0.01580297041455614,-0.014215455693506351,-0.013422282694472876,-0.012629501948399069,-0.013422282694472876,-0.015714543392313374,-0.014145644820499403,-0.01336097707585715,-0.012576164546854618,-0.01336097707585715,-0.0872700794602147,-0.07965512865398272,-0.04167273929577553
2019-02-15,0.0,-0.00987055320409902,-0.008867668087381597,-0.008367530560895675,-0.007868265277562125,-0.008367530560895675,-0.009042456792507703,-0.008131195425198356,-0.007676142645378303,-0.007221476191659915,-0.007676142645378303,-0.08931255591935217,-0.06439652539865148,-0.03614128571922881
2019-02-18,0.0,-0.012002480927565617,-0.01078834649218996,-0.010182419963426614,-0.009577256486685726,-0.010182419963426614,-0.010368351648726626,-0.009325598131489587,-0.008804707174817628,-0.008284141244954912,-0.008804707174817628,-0.08912534113030435,-0.06665356094242259,-0.0382975805453899
2019-02-19,0.0,-0.014163942819120923,-0.012736052762112648,-0.012023047087391325,-0.01131067056946089,-0.012023047087391325,-0.011911265837790341,-0.010715684063501207,-0.010118256404355708,-0.009521072155595833,-0.010118256404355708,-0.09513770017318912,-0.06770319134615221,-0.042103534274515186
2019-02-20,0.0,-0.013520786434321086,-0.012156373619854444,-0.011475176953638755,-0.010794656288851123,-0.011475176953638755,-0.01233643951068808,-0.011098803381072608,-0.010480309827081369,-0.009862033892427235,-0.010480309827081369,-0.10023369106024704,-0.06727186087807457,-0.03749040304085749
2019-02-21,0.0,-0.011611953477213444,-0.010436047838920048,-0.009849304431520323,-0.009263369883252937,-0.009849304431520323,-0.010899356668664817,-0.009803808102242906,-0.009256493791280462,-0.00870948734580812,-0.009256493791280462,-0.10210117618602321,-0.0683416093794268,-0.031005221891827306
2019-02-22,0.0,-0.009390791819370192,-0.008434624041221306,-0.007957950066210362,-0.007482218260808193,-0.007957950066210362,-0.008584032525634777,-0.007717708322200312,-0.007285199445553614,-0.006853127128328418,-0.007285199445553614,-0.09288926851157708,-0.0714263614073587,-0.028330075001000043
2019-02-25,0.0,-0.00442168698950951,-0.003958112988932783,-0.0037281016397217037,-0.0034992753507410157,-0.0037281016397217037,-0.0029937368975057055,-0.002682045810075473,-0.0025272229928365864,-0.002373082583031705,-0.0025272229928365864,-0.09358162386449498,-0.0789803371542247,-0.02667909427005033
