variant,screen_date,ticker,Region,base_score,residual_score,vcp_score,Final_Score,Total_Score
Baseline,2018-12-31,US3,US,1.0,1.0,0.5208333333333334,1.0,0.7580866910708451
Baseline,2018-12-31,US6,US,0.875,0.625,0.3333333333333333,0.875,0.6428545518681993
Baseline,2018-12-31,US5,US,0.75,0.875,0.4166666666666667,0.75,0.21118279568909482
Baseline,2018-12-31,US4,US,0.625,0.5,0.5625,0.625,0.17396161301288995
Baseline,2018-12-31,US7,US,0.5,0.375,0.4375,0.5,-0.2798595134183243
Baseline,2018-12-31,US0,US,0.375,0.125,0.3020833333333333,0.375,-0.41502201149972906
Baseline,2018-12-31,JP3.T,JP,1.0,0.75,0.46875,1.0,0.892144852715878
Baseline,2018-12-31,JP1.T,JP,0.875,0.875,0.5520833333333334,0.875,0.7481567379899846
Baseline,2018-12-31,JP0.T,JP,0.75,1.0,0.53125,0.75,0.3656953346720122
Baseline,2018-12-31,JP5.T,JP,0.625,0.375,0.4479166666666667,0.625,0.016609784269769598
Baseline,2018-12-31,JP7.T,JP,0.5,0.5,0.3020833333333333,0.5,-0.11068074475081727
Baseline,2018-12-31,JP4.T,JP,0.375,0.125,0.16666666666666666,0.375,-0.4579316669613257
Baseline,2019-03-29,US3,US,1.0,1.0,0.4895833333333333,1.0,1.022931813937737
Baseline,2019-03-29,US7,US,0.875,0.875,0.34375,0.875,0.5028262262368348
Baseline,2019-03-29,US6,US,0.75,0.5,0.6354166666666666,0.75,0.34021989169174566
Baseline,2019-03-29,US4,US,0.625,0.625,0.375,0.625,0.04948899076808164
Baseline,2019-03-29,US0,US,0.5,0.75,0.40625,0.5,-0.06110086966937517
Baseline,2019-03-29,US1,US,0.375,0.375,0.3333333333333333,0.375,-0.4755342941434701
Baseline,2019-03-29,JP3.T,JP,1.0,0.875,0.4895833333333333,1.0,0.7803579473048027
Baseline,2019-03-29,JP0.T,JP,0.875,1.0,0.4479166666666667,0.875,0.6400913507353692
Baseline,2019-03-29,JP5.T,JP,0.75,0.25,0.3645833333333333,0.75,0.34985392996221065
Baseline,2019-03-29,JP4.T,JP,0.625,0.625,0.5,0.625,0.1558745115566786
Baseline,2019-03-29,JP1.T,JP,0.5,0.5,0.23958333333333334,0.5,0.022934410545459673
Baseline,2019-03-29,JP7.T,JP,0.375,0.375,0.3645833333333333,0.375,-0.22897947494130405
Baseline,2019-06-28,US0,US,1.0,1.0,0.4583333333333333,1.0,0.4218909971408872
Baseline,2019-06-28,US3,US,0.875,0.5,0.3229166666666667,0.875,0.41634395467843466
Baseline,2019-06-28,US6,US,0.75,0.625,0.6458333333333334,0.75,0.4148966228513166
Baseline,2019-06-28,US4,US,0.625,0.875,0.6458333333333334,0.625,0.3421078477536663
Baseline,2019-06-28,US7,US,0.5,0.25,0.3645833333333333,0.5,0.0672011220203802
Baseline,2019-06-28,US5,US,0.375,0.75,0.19791666666666666,0.375,-0.18654726959332474
Baseline,2019-06-28,JP0.T,JP,1.0,1.0,0.3645833333333333,1.0,1.0611792498621084
Baseline,2019-06-28,JP5.T,JP,0.875,0.375,0.5520833333333334,0.875,0.460609021584705
Baseline,2019-06-28,JP3.T,JP,0.75,0.875,0.4270833333333333,0.75,0.34420561153178214
Baseline,2019-06-28,JP7.T,JP,0.625,0.25,0.4270833333333333,0.625,0.05545768222347319
Baseline,2019-06-28,JP1.T,JP,0.5,0.5,0.3020833333333333,0.5,-0.1758282516306289
Baseline,2019-06-28,JP4.T,JP,0.375,0.75,0.40625,0.375,-0.22573025687629975
Baseline,2019-09-30,US1,US,1.0,1.0,0.65625,1.0,0.5633827565856264
Baseline,2019-09-30,US3,US,0.875,0.25,0.25,0.875,0.5395145959835123
Baseline,2019-09-30,US7,US,0.75,0.5,0.5208333333333334,0.75,0.39991309485986465
Baseline,2019-09-30,US2,US,0.625,0.875,0.4479166666666667,0.625,-0.04376783047991985
Baseline,2019-09-30,US0,US,0.5,0.625,0.3020833333333333,0.5,-0.2271304581952055
Baseline,2019-09-30,US6,US,0.375,0.125,0.3333333333333333,0.375,-0.30929836866366583
Baseline,2019-09-30,JP0.T,JP,1.0,1.0,0.375,1.0,1.292631892897783
Baseline,2019-09-30,JP5.T,JP,0.875,0.875,0.6041666666666666,0.875,0.7294389944964809
