residual_variant,comparison,variant,cagr_delta,maxdd_abs_delta,vol_delta,calmar_delta,role
Baseline,N12_vs_N4,Baseline_N4,-0.0004641242800773604,0.026155980817649693,0.03345362095086427,-1.1394139060006934,concentration_reference
Baseline,N12_vs_N6,Baseline_N6,0.04446608460464607,0.0007037401428586776,0.018955096560214303,1.165997991909686,concentration_reference
Baseline,N12_vs_N8,Baseline_N8,0.020219453537991594,0.004985037530616632,0.011603426938842705,0.1679157777317153,concentration_reference
Baseline,N12_vs_N10,Baseline_N10,0.007998733545838688,0.0008481423204567129,0.005687763736757091,0.15613684029021746,concentration_reference
Baseline,N12_vs_N16,Baseline_N16,0.006563232958632703,-0.01010802956691037,-0.00803023273355697,1.3098759193691278,practical_diversification
Baseline,N12_vs_N20,Baseline_N20,0.006563232958632703,-0.01010802956691037,-0.00803023273355697,1.3098759193691278,practical_diversification
Baseline,N12_vs_N24,Baseline_N24,0.006563232958632703,-0.01010802956691037,-0.00803023273355697,1.3098759193691278,practical_diversification
Baseline,N12_vs_N30,Baseline_N30,0.006563232958632703,-0.01010802956691037,-0.00803023273355697,1.3098759193691278,high_diversification_reference
Baseline,N12_vs_N40,Baseline_N40,0.006563232958632703,-0.01010802956691037,-0.00803023273355697,1.3098759193691278,high_diversification_reference
Residual_100,N12_vs_N4,Residual_100_N4,-0.010056293585148923,0.03430774033262962,0.03569794647195514,-1.0824711592445593,concentration_reference
Residual_100,N12_vs_N6,Residual_100_N6,0.02108007371905085,0.003278391993738694,0.018655750432396735,0.37317626691805095,concentration_reference
Residual_100,N12_vs_N8,Residual_100_N8,0.012267301324237811,0.015428008747685129,0.009021746946746394,-0.33968089152309333,concentration_reference
Residual_100,N12_vs_N10,Residual_100_N10,0.01985216792108946,0.011727818326860318,0.0038976492667908355,-0.058639559558873344,concentration_reference
Residual_100,N12_vs_N16,Residual_100_N16,0.03258617200043479,-0.010526975332156185,-0.008676038728260706,2.059110457308858,practical_diversification
Residual_100,N12_vs_N20,Residual_100_N20,0.03258617200043479,-0.010526975332156185,-0.008676038728260706,2.059110457308858,practical_diversification
Residual_100,N12_vs_N24,Residual_100_N24,0.03258617200043479,-0.010526975332156185,-0.008676038728260706,2.059110457308858,practical_diversification
Residual_100,N12_vs_N30,Residual_100_N30,0.03258617200043479,-0.010526975332156185,-0.008676038728260706,2.059110457308858,high_diversification_reference
Residual_100,N12_vs_N40,Residual_100_N40,0.03258617200043479,-0.010526975332156185,-0.008676038728260706,2.059110457308858,high_diversification_reference
Residual_50,N12_vs_N4,Residual_50_N4,0.01604097136288196,0.034506285928174396,0.0359688671443855,-0.9486377915244013,concentration_reference
Residual_50,N12_vs_N6,Residual_50_N6,0.045734384959971175,0.0025751763173192943,0.020108146315433083,1.0242021182684344,concentration_reference
Residual_50,N12_vs_N8,Residual_50_N8,0.03141401976325109,-0.0016945824260545805,0.010818177930157859,1.0334574706573907,concentration_reference
Residual_50,N12_vs_N10,Residual_50_N10,0.026253620332974847,0.00016844232668988823,0.004025553071741919,0.7140089350286027,concentration_reference
Residual_50,N12_vs_N16,Residual_50_N16,0.015976583588754867,-0.01032842973661141,-0.008573186382111443,1.5875163431339718,practical_diversification
Residual_50,N12_vs_N20,Residual_50_N20,0.015976583588754867,-0.01032842973661141,-0.008573186382111443,1.5875163431339718,practical_diversification
Residual_50,N12_vs_N24,Residual_50_N24,0.015976583588754867,-0.01032842973661141,-0.008573186382111443,1.5875163431339718,practical_diversification
Residual_50,N12_vs_N30,Residual_50_N30,0.015976583588754867,-0.01032842973661141,-0.008573186382111443,1.5875163431339718,high_diversification_reference
Residual_50,N12_vs_N40,Residual_50_N40,0.015976583588754867,-0.01032842973661141,-0.008573186382111443,1.5875163431339718,high_diversification_reference
Residual_55,N12_vs_N4,Residual_55_N4,-0.017512224803955645,0.030539499846808482,0.034321476255217344,-1.199737160237397,concentration_reference
Residual_55,N12_vs_N6,Residual_55_N6,0.02094460522360242,0.009195523959889096,0.018529870569973704,0.014948964871159376,concentration_reference
Residual_55,N12_vs_N8,Residual_55_N8,0.030979505273966756,-0.0022324795317076873,0.011102280760623424,0.9501654775779533,concentration_reference
Residual_55,N12_vs_N10,Residual_55_N10,0.013778430528977204,-0.0017636303695178768,0.0044833985462274725,0.4617113043645493,concentration_reference
Residual_55,N12_vs_N16,Residual_55_N16,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,practical_diversification
Residual_55,N12_vs_N20,Residual_55_N20,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,practical_diversification
Residual_55,N12_vs_N24,Residual_55_N24,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,practical_diversification
Residual_55,N12_vs_N30,Residual_55_N30,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,high_diversification_reference
Residual_55,N12_vs_N40,Residual_55_N40,0.014696760718494462,-0.014295215817977325,-0.008292763179954359,1.7939357469381418,high_diversification_reference
