variant,screen_date,trade_date,ticker,total_holdings,us_holdings,jp_holdings,Efficiency,Quality,Valuation_Alt,Volatility,Composite_Ret,Total_Score,base_score,residual_score,residual_raw,Final_Score,Region,Weight
Baseline_N40,2019-03-29,2019-04-01,US3,40,20,20,0.8545746539293946,1.1886907183467323,5.943508246787853,0.19074445087660252,0.163005373096825,1.022931813937737,1.0,1.0,0.23518632139647402,1.0,US,0.06228698699070035
Baseline_N40,2019-03-29,2019-04-01,US7,40,20,20,0.6698292248616894,1.1634901289726343,5.53124362314792,0.19441983844028282,0.13022808968018953,0.5028262262368348,0.875,0.875,0.20240903797983859,0.875,US,0.0611094897805324
Baseline_N40,2019-03-29,2019-04-01,US6,40,20,20,0.24935652631151684,1.2430332741876966,5.4688653221762165,0.1935895608383858,0.04827282042083194,0.34021989169174566,0.75,0.5,0.12045376872048097,0.75,US,0.06137157953582911
Baseline_N40,2019-03-29,2019-04-01,US4,40,20,20,0.37800710835342216,1.0121143495079874,6.184439531788835,0.18598300747727037,0.07030289885935587,0.04948899076808164,0.625,0.625,0.1424838471590049,0.625,US,0.06388162709838548
Baseline_N40,2019-03-29,2019-04-01,US0,40,20,20,0.382220062102928,1.1153829821077177,5.3571591291259555,0.18666609968017778,0.0713475282122689,-0.06110086966937517,0.5,0.75,0.14352847651191794,0.5,US,0.06364785652378885
Baseline_N40,2019-03-29,2019-04-01,US1,40,20,20,0.20112349388091916,0.9688995871838028,5.861479244518645,0.20503510498073224,0.04123737668196592,-0.4755342941434701,0.375,0.375,0.11341832498161496,0.375,US,0.0579456729198432
Baseline_N40,2019-03-29,2019-04-01,US2,40,20,20,-0.34571662817004795,1.0450729328812893,6.15961849287503,0.189411215399301,-0.065482606725437,-0.5610816217714978,0.25,0.125,0.006698341574212026,0.25,US,0.06272541520444237
Baseline_N40,2019-03-29,2019-04-01,US5,40,20,20,-0.21321252674090796,0.9410784642369509,6.146406414788506,0.19230340766597356,-0.04100149544934911,-0.817750137050055,0.125,0.25,0.03117945285029992,0.125,US,0.06178204158990286
Baseline_N40,2019-03-29,2019-04-01,JP3.T,40,20,20,2.2408765313705175,1.1115201716194896,5.852539880576719,0.1708659864614982,0.3828895790710439,0.7803579473048027,1.0,0.875,0.24500270608311958,1.0,JP,0.06953342427210571
Baseline_N40,2019-03-29,2019-04-01,JP0.T,40,20,20,2.978776301814921,1.0551364248937216,5.441489812050391,0.18853916523730255,0.5616159973728444,0.6400913507353692,0.875,1.0,0.42372912438492,0.875,JP,0.06301553905442127
Baseline_N40,2019-03-29,2019-04-01,JP5.T,40,20,20,0.5202800168817132,1.1441658783069588,6.047688658704801,0.1802561215260082,0.09378365795058369,0.34985392996221065,0.75,0.25,-0.044103215037340625,0.75,JP,0.06591119918546007
Baseline_N40,2019-03-29,2019-04-01,JP4.T,40,20,20,1.1330970572123225,1.1239792872203194,5.307475337813498,0.1901656662889726,0.2154761568548554,0.1558745115566786,0.625,0.625,0.07758928386693109,0.625,JP,0.06247656247392843
Baseline_N40,2019-03-29,2019-04-01,JP1.T,40,20,20,0.6348233102155534,1.1118144686633942,5.534945971897186,0.199350330624242,0.12655223677944633,0.022934410545459673,0.5,0.5,-0.011334636208477985,0.5,JP,0.05959808089154203
Baseline_N40,2019-03-29,2019-04-01,JP7.T,40,20,20,0.5408178716430887,0.9758903928467841,6.257424418012147,0.17476351438338864,0.09451523188969056,-0.22897947494130405,0.375,0.375,-0.04337164109823375,0.375,JP,0.06798270893222841
Baseline_N40,2019-03-29,2019-04-01,JP6.T,40,20,20,1.5231127288628517,1.005969924782925,4.907976886119419,0.2086747956917945,0.31783523751102716,-0.36190723376996825,0.25,0.75,0.17994836452310284,0.25,JP,0.05693498867897252
Baseline_N40,2019-03-29,2019-04-01,JP2.T,40,20,20,-0.27883107545045277,0.8541692883299139,5.565097232515399,0.1986877523876393,-0.05540031967707874,-1.358225441393249,0.125,0.125,-0.19328719266500305,0.125,JP,0.05979682686791697
Baseline_N40,2019-06-28,2019-07-01,US0,40,20,20,0.6939935280047058,1.100273522305198,5.4312358599467725,0.19610543166679412,0.1360959003833242,0.4218909971408872,1.0,1.0,0.21598573353582684,1.0,US,0.06088959277985637
Baseline_N40,2019-06-28,2019-07-01,US3,40,20,20,0.003090180124594379,1.149660105818449,6.516433192303241,0.18205196226366532,0.0005625733554305845,0.41634395467843466,0.875,0.5,0.08045240650793324,0.875,US,0.06558995425061802
Baseline_N40,2019-06-28,2019-07-01,US6,40,20,20,0.1514779469900345,1.2252810012455806,5.311004550304286,0.1968734370779854,0.029821984065444968,0.4148966228513166,0.75,0.625,0.10971181721794764,0.75,US,0.06065206181867526
Baseline_N40,2019-06-28,2019-07-01,US4,40,20,20,0.6837949256537935,1.0684857542845076,5.611997325380509,0.18663583783899979,0.12762063885945232,0.3421078477536663,0.625,0.875,0.20751047201195502,0.625,US,0.06397903004250279
Baseline_N40,2019-06-28,2019-07-01,US7,40,20,20,-0.4074014761737792,1.1430357995855465,6.698562938639541,0.1805977965251948,-0.07357580889809617,0.0672011220203802,0.5,0.25,0.006314024254406488,0.5,US,0.06611808175878388
