method,variant,CAGR,Annualized_Volatility,Max_Drawdown,Sharpe,Calmar,Sortino,Total_Return,Best_Year,Worst_Year,Monthly_Win_Rate,Turnover
simple,Residual_10,0.10569138491749186,0.05168177038302865,-0.05892127602716324,2.0450418809994746,1.7937728447830488,3.3256088738043306,1.2989961398224565,0.23577153009562157,0.0,0.625,0.12348047661864553
simple,Residual_15,0.1048092716806388,0.05170684008049903,-0.05892127602716368,2.0269904623347323,1.7788017970337233,3.304558923765061,1.2838432063027243,0.23577153009562157,0.0,0.625,0.12584997391127287
simple,Residual_20,0.1048226892081443,0.051696907770392785,-0.052130142246033295,2.027639441680051,2.0107884746107807,3.301293561997463,1.2840730330847072,0.23577153009562157,0.0,0.625,0.1257636714852365
simple,Residual_25,0.10227777161767082,0.05151460243627812,-0.05213014224603263,1.9854131989892592,1.9619699316177233,3.2195842472338385,1.2408436397670917,0.23577153009562157,0.0,0.625,0.12827397361495826
simple,Residual_30,0.09866292282604694,0.051616424941338584,-0.05213014224603263,1.9114637043959575,1.892627155329807,3.1075368032187285,1.1806768318505254,0.231975041436568,0.0,0.6041666666666666,0.1312694217325028
beta_adjusted,Residual_10,0.10569138491749186,0.05168177038302865,-0.05892127602716324,2.0450418809994746,1.7937728447830488,3.3256088738043306,1.2989961398224565,0.23577153009562157,0.0,0.625,0.12348047661864553
beta_adjusted,Residual_15,0.1048092716806388,0.05170684008049903,-0.05892127602716368,2.0269904623347323,1.7788017970337233,3.304558923765061,1.2838432063027243,0.23577153009562157,0.0,0.625,0.12584997391127287
beta_adjusted,Residual_20,0.1048226892081443,0.051696907770392785,-0.052130142246033295,2.027639441680051,2.0107884746107807,3.301293561997463,1.2840730330847072,0.23577153009562157,0.0,0.625,0.1257636714852365
beta_adjusted,Residual_25,0.10227777161767082,0.05151460243627812,-0.05213014224603263,1.9854131989892592,1.9619699316177233,3.2195842472338385,1.2408436397670917,0.23577153009562157,0.0,0.625,0.12827397361495826
beta_adjusted,Residual_30,0.10127829568319746,0.05154849019023072,-0.05213014224603285,1.9647189531535756,1.9427972247841858,3.1990881940475835,1.224063768211682,0.231975041436568,0.0,0.6145833333333334,0.13113593147807556
